ID,Title,Short Description,Full Description,Slug,Category,Image,Duration,Formateur,Formation Type,Price Individuel,Price Collectif,CPF Eligible,Features,Objectives,Public Visé,Prérequis,Teaching Methods,Evaluation Methods,Accessibility,Certification Name,Certification Code,Organization,Organization URL,Description,Durée Enregistrement,Date Enregistrement,Exam Format,Success Rate,Reasons,Icon
"community-management,Développer son activité avec le Community Management,Maîtrisez les stratégies et outils du Community Management pour développer votre présence en ligne et accroître l'engagement sur les réseaux sociaux.,Maîtrisez les stratégies et outils du Community Management pour développer votre présence en ligne animer une communauté et accroître l'engagement sur les réseaux sociaux.,formation-community-management,Communication digitale et réseaux sociaux,https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,21 heures,,certifiante,2 450€*,1 650€*,True,""Stratégie de contenu, Animation de communauté, Outils de gestion, Mesure de performance"",""Élaborer une stratégie de Community Management adaptée à vos objectifs, Organiser l'application opérationnelle d'un projet de Community Management, Suivre et évaluer l'impact des actions mises en place"",La formation et la certification s'adressent aux dirigeants de petites entreprises et collaborateurs directs chargés de la communication marketing souhaitant mettre en place une stratégie de community management en vue de développer l'activité de leur entreprise.,""Être utilisateur des réseaux sociaux, Avoir un projet de communication digitale, Justifier d'un an d'expérience professionnelle"",""Approche théorique, Exemples concrets et partages d'expériences, Cas pédagogiques en groupe, Mises en situation et jeux de rôles"",""Mise en situation réelle portant sur l'élaboration d'une stratégie de community management avec remise de rapport et soutenance orale, Le candidat a 15 jours de préparation avant la remise de ses écrits, L'écrit est ensuite suivi d'une présentation orale de 25 minutes devant un jury"",""Formation accessible sous 15 jours après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap"",Développer son activité avec le community management,RS6452,Webmarketing & Com,https://www.webmarketing-com.com/,Cette formation prépare à la certification « Développer son activité avec le Community Management » enregistrée à France Compétences sous le numéro RS6452 par l'organisme certificateur Webmarketing & Com pour une durée de 3 ans en date du 21-12-2023,3,2023-12-21,""Mise en situation professionnelle avec soutenance orale, Présentation de la stratégie éditoriale, Analyse des actions et outils utilisés"",1,Relation client renforcée - Bâtissez une relation solide avec votre audience sur les réseaux sociaux, MessageSquare"
"ia-vente,Intégrer l'IA conversationnelle dans le cycle de vente,Maîtrisez l'utilisation de l'IA pour optimiser votre processus commercial et augmenter vos performances de vente dans un contexte professionnel.,Maîtrisez l'utilisation de l'IA pour optimiser votre processus commercial et augmenter vos performances de vente.,formation-ia-vente,Intelligence Artificielle,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,21 heures,,certifiante,2 450€*,1 650€*,True,""IA conversationnelle, Automatisation commerciale, Outils de vente IA, Optimisation des processus"",""Identifier les opportunités d'intégration de l'IA dans le processus de vente, Rédiger des prompts efficaces pour obtenir des réponses pertinentes des IA conversationnelles, Améliorer la qualité des interactions en optimisant les réponses de l'IA, Respecter les normes de protection des données et d'éthique dans l'usage de l'IA"",""Commerciaux ou personnel de la relation client, Managers en situation d'entretien, Responsables de services en réunion d'équipe, Chefs ou contributeurs de projet, Dirigeants en situation de discours, Demandeurs d'emploi en entretien de recrutement"",""Justifier d'au moins 1 an d'expérience professionnelle, Pratiquer régulièrement des prises de parole en présentiel ou à distance"",""Approche théorique, Exemples concrets et partages d'expériences, Cas pédagogiques en groupe, Mises en situation et jeux de rôles"",""Évaluation des compétences en entrée et sortie, Feuilles de présence et certificat de réalisation, Épreuve finale avec mises en situation et QCM"",""Formation accessible sous 15 jours après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap"",Intégrer l'intelligence artificielle conversationnelle dans le cycle de vente,RS6792,Online Sales Success,https://online-sales-success.fr/,Cette formation prépare à la certification « Intégrer l'intelligence artificielle conversationnelle dans le cycle de vente » enregistrée à France Compétences sous le numéro RS6792 par l'organisme certificateur Online Sales Success pour une durée de 3 ans en date du 15-03-2024,2,2024-10-01,""Mise en situation professionnelle avec soutenance orale, Présentation d'un projet d'intégration IA, Analyse des résultats et optimisation"",0.6,Gain de temps stratégique - Automatisez certaines tâches et optimisez le cycle de vente avec l'IA, Brain"
"communication-prise-parole,Communiquer avec impact à l'oral en présentiel et à distance,Développez votre aisance orale maîtrisez votre posture et captivez votre auditoire en toutes circonstances.,Développez votre aisance orale maîtrisez votre posture et captivez votre auditoire en toutes circonstances.,formation-communication-prise-parole,Communication et prise de parole en public,https://images.unsplash.com/photo-1475721027785-f74eccf877e2?ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,21 heures,,certifiante,2 450€*,1 650€*,True,""Prise de parole en public, Communication non verbale, Présentations efficaces, Communication à distance"",""Concevoir la structure d'une communication, Énoncer un message de manière audible et impactante, Mobiliser son corps et adapter sa posture selon l'environnement et les interlocuteurs, Illustrer son discours pour captiver et convaincre, Gérer les interactions et répondre aux objections, Adapter sa communication aux outils et contextes distanciels"",""Commerciaux ou personnel de la relation client, Managers en situation d'entretien, Responsables de services en réunion d'équipe, Chefs ou contributeurs de projet, Dirigeants en situation de discours, Demandeurs d'emploi en entretien de recrutement"",""Justifier d'au moins 1 an d'expérience professionnelle, Pratiquer régulièrement des prises de parole en présentiel ou à distance"",""Approche théorique, Exemples concrets et partages d'expériences, Cas pédagogiques en groupe, Mises en situation et jeux de rôles"",""Évaluation des compétences en entrée et sortie, Feuilles de présence et certificat de réalisation, Épreuve finale avec mises en situation et QCM"",""Formation accessible sous 15 jours après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap"",Communiquer à l'oral avec impact en présentiel et à distance,RS6377,Pollen Conseil,https://pollenconseil.com/,Cette formation prépare à la certification « Communiquer à l'oral avec impact en présentiel et à distance » enregistrée à France Compétences sous le numéro RS6377 par l'organisme certificateur Pollen Conseil pour une durée de 3 ans en date du 10-01-2024,3,2023-09-20,""Mise en situation professionnelle avec soutenance orale, Présentation structurée d'un sujet professionnel, Gestion des interactions et des objections"",1,Crédibilité renforcée - Affirmez votre expertise et gagnez en légitimité en captivant votre audience à l'oral, Users"
"allemand-professionnel,Allemand professionnel,Maîtrisez l'allemand dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,Maîtrisez l'allemand dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,formation-allemand-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Allemand.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en allemand et comprendre ses besoins, Recueillir des informations et poser des questions en allemand, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en allemand et comprendre des messages audios"",""Toute personne amenée à communiquer en allemand dans un contexte professionnel, Professionnels travaillant avec des partenaires germanophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Allemand professionnel,RS6145,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Allemand professionnel » enregistrée à France Compétences sous le numéro RS6145 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 05-02-2024,3,2022-10-24,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",En attente,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
"anglais-professionnel,Anglais,Développez des automatismes de communication en anglais et renforcez votre impact professionnel dans un contexte anglophone.,Développez des automatismes de communication en anglais et renforcez votre impact professionnel dans un contexte anglophone.,formation-anglais-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Anglais.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en anglais et comprendre ses besoins, Recueillir des informations et poser des questions en anglais, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en anglais et comprendre des messages audios"",""Toute personne amenée à communiquer en anglais dans un contexte professionnel, Professionnels travaillant avec des partenaires anglophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Anglais professionnel,RS6118,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Anglais professionnel » enregistrée à France Compétences sous le numéro RS6118 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 12-02-2024,3,2022-10-24,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",1,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
"arabe-professionnel,Arabe professionnel,Maîtrisez l'arabe dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,Maîtrisez l'arabe dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,formation-arabe-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Arabe.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en arabe et comprendre ses besoins, Recueillir des informations et poser des questions en arabe, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en arabe et comprendre des messages audios"",""Toute personne amenée à communiquer en arabe dans un contexte professionnel, Professionnels travaillant avec des partenaires arabophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Arabe professionnel,RS6144,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Arabe professionnel » enregistrée à France Compétences sous le numéro RS6146 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 19-02-2024,3,2022-10-24,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",En attente,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
"espagnol-professionnel,Espagnol professionnel,Maîtrisez l'espagnol dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,Maîtrisez l'espagnol dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,formation-espagnol-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Espagnol.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en espagnol et comprendre ses besoins, Recueillir des informations et poser des questions en espagnol, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en espagnol et comprendre des messages audios"",""Toute personne amenée à communiquer en espagnol dans un contexte professionnel, Professionnels travaillant avec des partenaires hispanophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Espagnol professionnel,RS6139,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Espagnol professionnel » enregistrée à France Compétences sous le numéro RS6147 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 26-02-2024,3,2022-10-24,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",1,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
"francais-professionnel,Français professionnel,Maîtrisez le français dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,Maîtrisez le français dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,formation-francais-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Fran%C3%A7ais-61b9e88d.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en français et comprendre ses besoins, Recueillir des informations et poser des questions en français, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en français et comprendre des messages audios"",""Toute personne amenée à communiquer en français dans un contexte professionnel, Professionnels travaillant avec des partenaires francophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Français professionnel,RS6916,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Français professionnel » enregistrée à France Compétences sous le numéro RS6148 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 05-03-2024,3,2024-11-28,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",En attente,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
"italien-professionnel,Italien professionnel,Maîtrisez l'italien dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,Maîtrisez l'italien dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,formation-italien-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Italien.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en italien et comprendre ses besoins, Recueillir des informations et poser des questions en italien, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en italien et comprendre des messages audios"",""Toute personne amenée à communiquer en italien dans un contexte professionnel, Professionnels travaillant avec des partenaires italophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Italien professionnel,RS6140,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Italien professionnel » enregistrée à France Compétences sous le numéro RS6149 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 12-03-2024,3,2022-10-24,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",En attente,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
"chinois-professionnel,Chinois professionnel,Maîtrisez le chinois dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,Maîtrisez le chinois dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,formation-chinois-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Chinois.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en chinois et comprendre ses besoins, Recueillir des informations et poser des questions en chinois, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en chinois et comprendre des messages audios"",""Toute personne amenée à communiquer en chinois dans un contexte professionnel, Professionnels travaillant avec des partenaires sinophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Chinois professionnel,RS6142,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Chinois professionnel » enregistrée à France Compétences sous le numéro RS6150 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 19-03-2024,3,2022-10-24,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",En attente,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
"japonais-professionnel,Japonais professionnel,Maîtrisez le japonais dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,Maîtrisez le japonais dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,formation-japonais-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Japonais.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en japonais et comprendre ses besoins, Recueillir des informations et poser des questions en japonais, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en japonais et comprendre des messages audios"",""Toute personne amenée à communiquer en japonais dans un contexte professionnel, Professionnels travaillant avec des partenaires nippophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Japonais professionnel,RS6141,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Japonais professionnel » enregistrée à France Compétences sous le numéro RS6151 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 26-03-2024,3,2022-10-24,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",En attente,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
"portugais-professionnel,Portugais professionnel,Maîtrisez le portugais dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,Maîtrisez le portugais dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,formation-portugais-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Portugais.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en portugais et comprendre ses besoins, Recueillir des informations et poser des questions en portugais, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en portugais et comprendre des messages audios"",""Toute personne amenée à communiquer en portugais dans un contexte professionnel, Professionnels travaillant avec des partenaires lusophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Portugais professionnel,RS6143,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Portugais professionnel » enregistrée à France Compétences sous le numéro RS6152 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 02-04-2024,3,2022-10-24,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",1,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
"russe-professionnel,Russe professionnel,Maîtrisez le russe dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,Maîtrisez le russe dans un contexte professionnel pour développer vos compétences linguistiques et votre carrière internationale.,formation-russe-professionnel,Langues,https://irp.cdn-website.com/e0ab763a/dms3rep/multi/Russe.png,30 heures,,certifiante,1 950€*,1 250€*,True,""Communication professionnelle, Vocabulaire métier, Préparation aux certifications, Mise en situation pratique"",""Accueillir une personne en russe et comprendre ses besoins, Recueillir des informations et poser des questions en russe, Transmettre des consignes et des instructions dans un cadre professionnel, Consulter des documents en russe et comprendre des messages audios"",""Toute personne amenée à communiquer en russe dans un contexte professionnel, Professionnels travaillant avec des partenaires russophones"",""Niveau A1 introductif ou A2 intermédiaire, Test de niveau initial obligatoire"",""Blended learning avec 20% d'e-learning et 80% de formation en live, Exposés théoriques et mises en situation, Études de cas et jeux de rôles, Supports pédagogiques personnalisés"",""Audit de niveau initial, Mini-tests de compréhension réguliers, Évaluation finale LILATE"",""Formation accessible sous 2 semaines après inscription, Adaptations possibles sur demande pour les personnes en situation de handicap, Assistance à la connexion en cas de visioconférence via Microsoft Teams"",Russe professionnel,RS6146,Lilate,https://www.lilate.org/,Cette formation prépare à la certification « Russe professionnel » enregistrée à France Compétences sous le numéro RS6153 par l'organisme certificateur Lilate pour une durée de 3 ans en date du 09-04-2024,3,2022-10-24,""Évaluation LILATE en situation professionnelle, Test de compréhension orale et écrite, Mise en situation de communication professionnelle"",En attente,Ouverture internationale - Accédez à de nouvelles opportunités professionnelles à l'international, Globe"
